"name*,version*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL"
"@angular/animations,9.1.12,MIT,"""",,,,,,"
"@angular/cdk,9.2.4,MIT,"""",,,,,,"
"@angular/common,9.1.12,MIT,"""",,,,,,"
"@angular/compiler,9.1.12,MIT,"""",,,,,,"
"@angular/core,9.1.12,MIT,"""",,,,,,"
"@angular/elements,9.1.12,MIT,"""",,,,,,"
"@angular/forms,9.1.12,MIT,"""",,,,,,"
"@angular/localize,9.1.12,MIT,"""",,,,,,"
"@angular/platform-browser,^9.1.12,MIT,"""",,,,,,"
"@angular/platform-browser-dynamic,^9.1.12,MIT,"""",,,,,,"
"@angular/router,^9.1.12,MIT,"""",,,,,,"
"@angular-devkit/build-angular,0.900.7,MIT,"""",,,,,,"
"@angular/cli,9.1.12,MIT,"""",,,,,,"
"@angular/compiler-cli,9.1.12,MIT,"""",,,,,,"
"@angular/language-service,9.1.12,MIT,"""",,,,,,"
"@ng-bootstrap/ng-bootstrap,6.0.0,MIT,"""",,,,,,"
"angular-formio,~4.11.0,MIT,"""",,,,,,"
"angular2-text-mask,^9.0.0,Unlicense,"""",,,,,,"
"core-js,2.6.11,MIT,"""",,,,,,"
"font-awesome,4.7.0,MIT+CC BY 4.0+SIL OFL 1.1,"""",,,,,,"
"ngx-spinner,10.0.1,MIT,"""",,,,,,"
"rxjs,6.5.5,Apache-2.0,"""",,,,,,"
"text-mask-addons,3.8.0,Unlicense,"""",,,,,,"
"tslib,1.14.1,0BSD,"""",,,,,,"
"zone.js,0.10.3,MIT,"""",,,,,,"
"@types/jasmine,2.8.17,MIT,"""",,,,,,"
"@types/jasminewd2,2.0.8,MIT,"""",,,,,,"
"@types/node,12.11.7,MIT,"""",,,,,,"
"body-parser,1.18.3,MIT,"""",,,,,,"
"chalk,2.4.2,MIT,"""",,,,,,"
"codelyzer,5.2.2,MIT,"""",,,,,,"
"cors,2.8.5,MIT,"""",,,,,,"
"crypto-js,4.0.0,MIT,"""",,,,,,"
"express,4.16.4,MIT,"""",,,,,,"
"jasmine-core,2.99.1,MIT,"""",,,,,,"
"jasmine-spec-reporter,4.2.1,MIT,"""",,,,,,"
"karma,1.7.1,MIT,"""",,,,,,"
"karma-chrome-launcher,2.2.0,MIT,"""",,,,,,"
"karma-coverage-istanbul-reporter,2.0.6,MIT,"""",,,,,,"
"karma-jasmine,1.1.2,MIT,"""",,,,,,"
"karma-jasmine-html-reporter,0.2.2,MIT,"""",,,,,,"
"morgan,1.10.0,MIT,"""",,,,,,"
"protractor,5.3.2,MIT,"""",,,,,,"
"ts-node,5.0.1,MIT,"""",,,,,,"
"tslint,5.9.1,Apache-2.0,"""",,,,,,"
"typescript,3.7.5,Apache-2.0,"""",,,,,,"
"ab-datepicker,^2.1.19,MIT,"""",,,,,,"
"bootstrap,^5.0.0-beta1,MIT,"""",,,,,,"
"bootstrap-icons,^1.2.1,MIT,"""",,,,,,"
"@swimlane/ngx-datatable,^18.0.0,MIT,"""",,,,,,"
