name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
antlr-2.7.5.jar,BSD,-,-,-,Java,-,-,-
barbecue-1.5-beta1.jar,BSD-3-clause,-,-,-,Java,-,-,-
barcode4j-2.1.0.jar,Apache-2.0,-,-,-,Java,-,-,-
batik-css-1.7.jar,Apache-2.0,-,-,-,Java,-,-,-
bsh-2.0b4.jar,Apache-2.0,-,-,-,Java,-,-,-
castor-core-1.3.3.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-beanutils-1.9.1.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-codec-1.7.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-collections-3.2.2.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-digester-2.1.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-io-2.5.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-javaflow-20060411.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-lang-2.6.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-lang3-3.2.1.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-logging-1.1.3.jar,Apache-2.0,-,-,-,Java,-,-,-
cxf-2.7.18.jar,Apache-2.0,-,-,-,Java,-,-,-
groovy-all-2.4.5.jar,Apache-2.0,-,-,-,Java,-,-,-
httpclient-4.5.2.jar,Apache-2.0,-,-,-,Java,-,-,-
httpcore-4.4.4.jar,Apache-2.1,-,-,-,Java,-,-,-
itext-2.1.7.jar,MPL-1.1,-,-,-,Java,-,-,-
jackson-core-2.6.2.jar,Apache-2.0,-,-,-,Java,-,-,-
jackson-databind-2.6.2.jar,Apache-2.0,-,-,-,Java,-,-,-
jasperreports-6.2.1.jar,LGPL-3.0,-,-,-,Java,-,-,-
jasperreports-fonts-6.2.1.jar,LGPL-3.0,-,-,-,Java,-,-,-
jasperreports-functions-6.2.1.jar,LGPL-3.0,-,-,-,Java,-,-,-
jaxen-1.1.1.jar,Apache-2.0,-,-,-,Java,-,-,-
jcommon-1.0.23.jar,LGPL-3.0,-,-,-,Java,-,-,-
jfreechart-1.0.19.jar,LGPL-3.0,-,-,-,Java,-,-,-
joda-time-1.6.jar,Apache-2.0,-,-,-,Java,-,-,-
jxl-2.6.10.jar,LGPL-3.0,-,-,-,Java,-,-,-
log4j-1.2.17.jar,Apache-2.0,-,-,-,Java,-,-,-
lucene-core-4.5.1.jar,Apache-2.0,-,-,-,Java,-,-,-
naosrv-ws-cxfclient-1.0.0.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,-,-,Java,-,-,-
neethi-3.0.2.jar,Apache-2.0,-,-,-,Java,-,-,-
persistence-api-1.0.jar,CDDL-1.0,-,-,-,Java,-,-,-
poi-3.10.1.jar,Apache-2.0,-,-,-,Java,-,-,-
postgresql-9.4-1201.jdbc4.jar,"PostgreSQL, BSD-2-Clause",-,-,-,Java,-,-,-
rhino-1.7.6.jar,MPL-2.0,-,-,-,Java,-,-,-
velocity-1.7-dep.jar,Apache-2.0,-,-,-,Java,-,-,-
velocity-1.7.jar,Apache-2.0,-,-,-,Java,-,-,-
wsdl4j-1.6.3.jar,CPL-1.0,-,-,-,Java,-,-,-
xercesImpl-2.6.2.jar,Apache-2.0,-,-,-,Java,-,-,-
xmlschema-core-2.0.3.jar,Apache-2.0,-,-,-,Java,-,-,-
xmpcore-5.1.1.jar,BSD,-,-,-,Java,-,-,-
zxing-core-2.3.0.jar,Apache-2.0,-,-,-,Java,-,-,-
zxing-javase-2.3.0.jar,Apache-2.0,-,-,-,Java,-,-,-
